ResolvedPersonID,RoleTable,RoleRowID,CaseMasterID,MatchConfidence
6,Accused,19,15,1.0
6,Accused,23,16,1.0
6,Accused,29,18,1.0
6,Accused,40,21,1.0
6,Accused,41,22,1.0
6,Accused,52,25,1.0
6,Accused,59,26,1.0
6,Accused,417,342,0.875
6,Accused,2854,2476,0.925
6,Accused,3155,2743,0.9
6,Accused,3268,2848,1.0
6,Accused,5679,4997,0.875
7,Accused,62,28,0.95
7,Accused,215,165,0.875
7,Accused,1802,1529,0.875
7,Accused,2445,2103,0.95
7,Accused,3718,3240,0.875
7,Accused,4046,3550,0.825
7,Accused,4692,4129,0.825
7,Accused,5145,4549,0.925
7,Accused,5321,4711,0.875
8,Accused,63,28,1.0
8,Accused,873,750,1.0
8,Accused,3093,2692,0.925
8,Accused,3277,2854,0.925
8,Accused,3376,2933,1.0
8,Accused,3881,3402,0.875
8,Accused,4281,3771,1.0
8,Accused,5571,4911,0.95
8,Accused,5625,4955,0.825
9,Accused,64,31,0.95
9,Accused,1131,971,0.825
9,Accused,4908,4329,0.95
10,Accused,65,33,1.0
10,Accused,497,406,0.825
10,Accused,998,857,0.875
10,Accused,1029,886,0.925
10,Accused,1202,1031,0.95
10,Accused,2405,2072,0.875
10,Accused,2436,2096,0.825
10,Accused,2509,2166,1.0
10,Accused,2784,2414,0.9
10,Accused,3153,2741,0.9
10,Accused,3245,2823,0.875
10,Accused,3370,2930,0.925
10,Accused,3886,3407,0.875
10,Accused,3891,3412,0.875
10,Accused,4365,3849,0.925
10,Accused,4853,4283,0.875
10,Accused,5085,4490,0.875
11,Accused,66,34,0.925
11,Accused,101,66,0.925
11,Accused,259,206,0.875
11,Accused,566,466,0.85
11,Accused,1027,885,0.825
11,Accused,4400,3884,0.825
11,Accused,5184,4578,0.825
11,Accused,5250,4637,0.875
11,Accused,5331,4720,0.825
12,Accused,67,34,0.95
12,Accused,141,105,0.95
12,Accused,526,427,0.875
12,Accused,665,549,0.825
12,Accused,968,830,0.925
12,Accused,1210,1037,0.875
12,Accused,1256,1072,0.95
12,Accused,2682,2320,0.875
12,Accused,3108,2703,0.875
12,Accused,3938,3454,0.875
12,Accused,5193,4586,0.9
13,Accused,68,34,0.95
13,Accused,145,108,0.875
13,Accused,846,727,0.875
13,Accused,1238,1057,0.9
13,Accused,2239,1918,0.825
13,Accused,2444,2102,0.95
13,Accused,2736,2366,0.9
13,Accused,4999,4408,0.875
13,Accused,5191,4585,0.875
13,Accused,5355,4736,0.875
13,Accused,5380,4759,0.95
14,Accused,69,36,0.95
14,Accused,135,100,0.9
14,Accused,1287,1100,0.875
14,Accused,1634,1391,0.825
14,Accused,3036,2638,0.9
14,Accused,3515,3063,0.95
14,Accused,3816,3335,0.875
15,Accused,70,36,0.925
15,Accused,130,96,0.925
15,Accused,359,293,0.85
15,Accused,514,417,0.925
15,Accused,1617,1374,0.825
15,Accused,1990,1696,0.875
15,Accused,2342,2016,0.825
15,Accused,2699,2334,0.825
15,Accused,3188,2777,0.875
15,Accused,3327,2899,0.875
15,Accused,3625,3162,0.825
16,Accused,71,38,0.95
16,Accused,1741,1476,0.825
16,Accused,2017,1722,0.925
16,Accused,2859,2481,0.925
16,Accused,4288,3775,0.95
16,Accused,4428,3906,0.875
16,Accused,4611,4050,0.95
17,Accused,72,38,0.95
17,Accused,112,81,0.925
17,Accused,372,303,0.875
17,Accused,1605,1365,0.875
17,Accused,1675,1423,0.9
17,Accused,1971,1683,0.925
17,Accused,2350,2022,0.95
17,Accused,3946,3461,0.875
17,Accused,4969,4376,0.95
17,Accused,5035,4445,0.95
17,Accused,5173,4568,0.925
17,Accused,5253,4639,0.95
18,Accused,73,40,0.925
18,Accused,85,53,0.875
18,Accused,260,207,0.925
18,Accused,281,226,0.825
18,Accused,1146,983,0.925
18,Accused,1471,1257,0.825
18,Accused,2721,2354,0.875
18,Accused,2810,2441,0.875
18,Accused,3463,3016,0.875
18,Accused,3597,3136,0.825
18,Accused,4686,4119,0.825
18,Accused,5015,4424,0.875
18,Accused,5237,4624,0.875
19,Accused,74,40,0.925
19,Accused,816,697,0.825
19,Accused,956,817,0.825
19,Accused,1151,989,0.875
19,Accused,1392,1198,0.875
19,Accused,2028,1737,0.925
19,Accused,2526,2182,0.825
20,Accused,75,41,0.925
20,Accused,1220,1044,0.875
20,Accused,2292,1970,0.825
20,Accused,3081,2681,0.9
20,Accused,3768,3286,0.9
20,Accused,4015,3521,0.825
20,Accused,4354,3840,0.925
21,Accused,76,42,0.925
21,Accused,79,45,0.875
21,Accused,191,149,0.925
21,Accused,1600,1361,0.825
21,Accused,3034,2636,0.875
21,Accused,3696,3227,0.825
21,Accused,4385,3866,0.925
21,Accused,5177,4573,0.825
21,Accused,5528,4881,0.875
22,Accused,77,44,0.9
22,Accused,621,512,0.9
22,Accused,1143,981,0.825
22,Accused,2443,2101,0.825
22,Accused,3035,2637,0.825
22,Accused,5226,4612,0.825
23,Accused,78,45,1.0
23,Accused,1553,1320,0.875
23,Accused,1595,1358,0.875
23,Accused,1645,1401,1.0
23,Accused,2039,1750,0.925
23,Accused,3737,3259,0.9
23,Accused,3769,3287,0.925
23,Accused,5335,4724,0.825
23,Accused,5378,4758,0.875
24,Accused,80,47,0.925
24,Accused,410,336,0.875
24,Accused,1043,895,0.825
24,Accused,2769,2397,0.875
24,Accused,3704,3233,0.925
24,Accused,3726,3245,0.825
24,Accused,3868,3387,0.825
24,Accused,3977,3488,0.875
24,Accused,4797,4232,0.875
25,Accused,81,48,0.875
25,Accused,1883,1605,0.875
25,Accused,3918,3436,0.825
26,Accused,82,49,0.95
26,Accused,741,625,0.9
26,Accused,1817,1541,0.95
26,Accused,3723,3243,0.9
27,Accused,83,52,0.95
27,Accused,290,233,0.875
27,Accused,294,238,0.95
27,Accused,549,448,0.875
27,Accused,708,589,0.825
27,Accused,3359,2923,0.825
27,Accused,4123,3620,0.825
27,Accused,4695,4131,0.925
27,Accused,5126,4527,0.875
28,Accused,84,52,1.0
28,Accused,368,299,1.0
28,Accused,780,661,0.825
28,Accused,2230,1911,0.825
28,Accused,2352,2022,0.875
28,Accused,4775,4211,0.875
29,Accused,86,53,0.925
29,Accused,134,100,0.875
29,Accused,144,108,0.875
29,Accused,447,369,0.875
29,Accused,521,425,0.925
29,Accused,1209,1036,0.875
29,Accused,3526,3073,0.875
29,Accused,4691,4127,0.925
30,Accused,87,53,1.0
30,Accused,631,518,0.95
30,Accused,2052,1762,1.0
30,Accused,2649,2292,0.95
30,Accused,3610,3148,0.825
30,Accused,4837,4271,0.875
30,Accused,4882,4307,0.825
31,Accused,88,54,1.0
31,Accused,234,184,0.925
31,Accused,817,698,1.0
31,Accused,1240,1059,1.0
31,Accused,2013,1716,0.875
31,Accused,2316,1987,0.925
31,Accused,3906,3428,0.85
31,Accused,4086,3587,0.825
31,Accused,4120,3618,0.925
31,Accused,4238,3727,0.925
32,Accused,89,55,1.0
32,Accused,220,172,0.9
32,Accused,1389,1196,1.0
32,Accused,2361,2031,1.0
32,Accused,4828,4266,0.875
32,Accused,4979,4381,1.0
33,Accused,90,57,1.0
33,Accused,185,145,0.875
33,Accused,254,203,0.925
33,Accused,556,453,0.825
33,Accused,734,619,0.925
33,Accused,1437,1230,0.875
33,Accused,1438,1230,0.95
33,Accused,1959,1674,1.0
33,Accused,2577,2227,0.825
33,Accused,2695,2331,0.875
33,Accused,2806,2437,0.9
33,Accused,3770,3287,0.875
33,Accused,4670,4106,0.825
33,Accused,5090,4494,0.9
33,Accused,5151,4552,0.95
33,Accused,5423,4800,0.875
34,Accused,91,59,1.0
34,Accused,204,156,0.875
34,Accused,2771,2400,0.875
34,Accused,3059,2660,0.925
34,Accused,4877,4303,1.0
34,Accused,4907,4328,0.9
34,Accused,4984,4387,0.875
34,Accused,5260,4648,0.925
35,Accused,92,59,1.0
35,Accused,263,210,0.875
35,Accused,1241,1060,0.925
35,Accused,1549,1318,0.875
35,Accused,1835,1564,0.875
35,Accused,2946,2557,0.9
35,Accused,3475,3026,0.825
35,Accused,3880,3400,0.925
35,Accused,4173,3677,0.925
35,Accused,4314,3808,0.875
35,Accused,4382,3862,0.875
35,Accused,4678,4114,1.0
36,Accused,93,61,0.95
36,Accused,103,70,0.95
36,Accused,845,726,0.825
36,Accused,1342,1153,0.875
36,Accused,2459,2117,0.875
36,Accused,3123,2715,0.95
36,Accused,5464,4834,0.925
37,Accused,94,61,0.925
37,Accused,265,213,0.925
37,Accused,322,264,0.875
37,Accused,425,347,0.9
37,Accused,820,700,0.875
37,Accused,957,818,0.825
37,Accused,1184,1016,0.825
37,Accused,1428,1224,0.875
37,Accused,3296,2868,0.875
37,Accused,4617,4056,0.825
38,Accused,95,62,0.925
38,Accused,1944,1662,0.875
38,Accused,2011,1715,0.925
38,Accused,2097,1803,0.875
38,Accused,2341,2015,0.875
38,Accused,3708,3234,0.875
38,Accused,4080,3580,0.825
38,Accused,5167,4565,0.825
39,Accused,96,62,0.925
39,Accused,104,70,0.875
39,Accused,781,662,0.875
39,Accused,1902,1628,0.875
39,Accused,3913,3433,0.875
39,Accused,4716,4152,0.925
39,Accused,5073,4479,0.925
39,Accused,5477,4841,0.825
40,Accused,97,62,0.925
40,Accused,409,336,0.875
40,Accused,752,637,0.825
40,Accused,1014,871,0.825
40,Accused,1555,1321,0.825
40,Accused,1623,1381,0.825
40,Accused,1768,1496,0.925
40,Accused,2861,2484,0.875
40,Accused,3163,2751,0.875
40,Accused,3241,2817,0.875
40,Accused,3283,2858,0.875
40,Accused,3471,3020,0.825
40,Accused,3500,3046,0.925
40,Accused,3567,3107,0.875
40,Accused,4548,4003,0.825
40,Accused,5067,4475,0.925
40,Accused,5569,4908,0.925
41,Accused,98,63,1.0
41,Accused,860,740,0.875
41,Accused,1260,1074,1.0
41,Accused,1567,1334,0.9
42,Accused,99,64,0.925
42,Accused,2012,1716,0.925
42,Accused,5214,4601,0.875
43,Accused,100,65,0.925
43,Accused,314,254,0.925
43,Accused,360,294,0.875
43,Accused,681,566,0.825
43,Accused,869,747,0.875
43,Accused,3602,3139,0.875
43,Accused,3620,3158,0.925
43,Accused,4376,3858,0.825
43,Accused,4471,3934,0.875
43,Accused,4642,4082,0.875
43,Accused,5487,4850,0.875
44,Accused,102,68,0.925
44,Accused,161,125,0.925
44,Accused,226,179,0.825
44,Accused,787,668,0.875
44,Accused,1650,1403,0.925
44,Accused,1805,1532,0.875
44,Accused,2546,2197,0.875
44,Accused,4366,3849,0.85
44,Accused,4723,4156,0.875
45,Accused,105,74,0.9
45,Accused,940,804,0.875
45,Accused,2037,1748,0.875
45,Accused,2251,1932,0.9
45,Accused,4071,3572,0.875
46,Accused,106,74,1.0
46,Accused,117,85,0.925
46,Accused,427,349,0.925
46,Accused,512,416,0.825
46,Accused,2718,2350,0.925
46,Accused,3235,2810,0.875
46,Accused,3772,3289,0.925
46,Accused,4789,4228,1.0
46,Accused,4891,4314,0.825
46,Accused,5361,4740,0.925
47,Accused,107,75,0.875
47,Accused,1415,1214,0.825
47,Accused,1484,1263,0.875
47,Accused,3238,2813,0.875
47,Accused,3293,2864,0.825
48,Accused,108,75,0.875
48,Accused,3228,2805,0.875
48,Accused,3467,3018,0.875
48,Accused,3972,3485,0.875
48,Accused,4831,4267,0.875
48,Accused,5372,4750,0.85
49,Accused,109,76,0.925
49,Accused,698,582,0.875
49,Accused,2310,1982,0.925
49,Accused,2455,2112,0.825
49,Accused,2499,2156,0.875
49,Accused,3368,2928,0.875
50,Accused,110,80,1.0
50,Accused,189,147,0.875
50,Accused,767,653,0.825
50,Accused,1064,918,0.85
50,Accused,1629,1386,0.875
50,Accused,2077,1787,0.875
50,Accused,2274,1955,0.875
50,Accused,2600,2250,0.875
50,Accused,3173,2760,0.875
50,Accused,3230,2807,0.85
50,Accused,4486,3942,1.0
50,Accused,4954,4365,0.875
50,Accused,5110,4510,0.875
51,Accused,111,80,1.0
51,Accused,458,378,1.0
51,Accused,2368,2034,1.0
52,Accused,113,82,0.95
52,Accused,3990,3499,0.925
52,Accused,4433,3909,0.825
52,Accused,4714,4151,0.95
52,Accused,4996,4406,0.925
53,Accused,114,82,1.0
53,Accused,616,507,0.825
53,Accused,821,701,0.875
53,Accused,921,792,0.825
53,Accused,1018,872,0.825
53,Accused,1346,1157,0.9
53,Accused,3118,2711,0.825
53,Accused,3275,2853,1.0
53,Accused,3428,2982,0.9
53,Accused,4844,4276,0.875
54,Accused,115,83,0.95
54,Accused,485,396,0.95
54,Accused,991,850,0.925
54,Accused,1681,1428,0.95
54,Accused,2561,2207,0.95
54,Accused,3169,2755,0.875
54,Accused,4675,4111,0.925
54,Accused,4822,4256,0.825
55,Accused,116,84,0.925
55,Accused,211,160,0.95
55,Accused,3510,3057,0.925
55,Accused,3615,3151,0.95
56,Accused,118,86,0.95
56,Accused,1114,961,0.825
56,Accused,2054,1764,0.925
56,Accused,2787,2419,0.875
56,Accused,3090,2689,0.95
56,Accused,4463,3928,0.825
57,Accused,119,87,0.95
57,Accused,1092,944,0.875
57,Accused,1230,1048,0.875
57,Accused,1314,1129,0.925
57,Accused,2272,1951,0.925
57,Accused,3416,2974,0.95
57,Accused,4011,3519,0.825
57,Accused,4679,4114,0.875
58,Accused,120,87,0.925
58,Accused,1183,1016,0.9
58,Accused,1486,1265,0.85
58,Accused,2894,2513,0.925
58,Accused,2936,2551,0.875
58,Accused,5479,4843,0.875
59,Accused,121,88,0.95
59,Accused,1227,1046,0.825
59,Accused,1955,1673,0.9
59,Accused,2966,2575,0.925
59,Accused,3877,3398,0.925
59,Accused,4920,4338,0.95
60,Accused,122,90,0.95
60,Accused,1574,1340,0.925
60,Accused,3341,2911,0.95
61,Accused,123,91,0.95
61,Accused,1291,1104,0.95
61,Accused,2249,1931,0.9
62,Accused,124,92,0.925
62,Accused,803,686,0.875
62,Accused,978,840,0.875
62,Accused,1558,1325,0.875
62,Accused,2897,2516,0.925
62,Accused,5005,4413,0.925
62,Accused,5677,4996,0.825
63,Accused,125,92,0.925
63,Accused,147,112,0.9
63,Accused,765,651,0.825
63,Accused,2300,1976,0.875
63,Accused,2378,2043,0.925
63,Accused,2939,2552,0.825
64,Accused,126,93,0.925
64,Accused,172,133,0.825
64,Accused,515,418,0.875
64,Accused,689,572,0.825
64,Accused,850,730,0.875
64,Accused,875,751,0.875
64,Accused,907,780,0.825
64,Accused,1047,903,0.825
64,Accused,1187,1018,0.825
64,Accused,3221,2800,0.875
64,Accused,3752,3272,0.925
64,Accused,4222,3714,0.875
64,Accused,4919,4337,0.875
64,Accused,5475,4840,0.925
64,Accused,5511,4869,0.825
64,Accused,5599,4936,0.825
65,Accused,127,93,0.95
65,Accused,2086,1794,0.875
65,Accused,3131,2721,0.95
65,Accused,4747,4187,0.875
66,Accused,128,94,1.0
66,Accused,789,671,0.95
66,Accused,852,731,0.9
66,Accused,1710,1454,0.875
66,Accused,2844,2468,0.875
66,Accused,2984,2592,0.825
66,Accused,3072,2675,0.95
66,Accused,3931,3448,0.825
66,Accused,4210,3706,1.0
67,Accused,129,95,1.0
67,Accused,2286,1964,0.85
67,Accused,2581,2231,0.95
67,Accused,5658,4981,1.0
68,Accused,131,97,1.0
68,Accused,916,786,0.875
68,Accused,1045,899,0.875
68,Accused,1185,1017,0.875
68,Accused,1942,1661,1.0
68,Accused,2067,1780,0.925
68,Accused,2116,1821,1.0
68,Accused,2453,2110,0.875
68,Accused,2680,2317,0.95
68,Accused,2752,2380,0.875
68,Accused,2912,2531,0.875
68,Accused,3484,3031,0.925
68,Accused,3836,3351,0.925
68,Accused,4427,3905,0.925
68,Accused,4854,4284,0.9
68,Accused,5076,4481,0.925
69,Accused,132,97,0.95
69,Accused,342,281,0.825
69,Accused,1036,890,0.825
69,Accused,3561,3104,0.9
69,Accused,4574,4028,0.825
69,Accused,4750,4189,0.95
69,Accused,5109,4510,0.825
70,Accused,133,99,0.875
70,Accused,338,277,0.875
70,Accused,1012,870,0.825
70,Accused,1633,1390,0.825
70,Accused,2151,1846,0.875
70,Accused,2388,2052,0.875
70,Accused,2486,2145,0.875
70,Accused,2873,2495,0.875
70,Accused,4282,3771,0.825
71,Accused,136,100,0.9
71,Accused,707,589,0.875
71,Accused,1371,1179,0.875
71,Accused,3102,2698,0.9
72,Accused,137,101,1.0
72,Accused,500,408,0.825
72,Accused,833,715,0.875
72,Accused,1638,1394,1.0
72,Accused,1728,1469,0.875
72,Accused,2056,1766,1.0
72,Accused,2279,1958,0.95
72,Accused,2529,2184,0.825
72,Accused,3097,2694,0.925
72,Accused,3322,2892,0.875
72,Accused,4208,3704,0.875
72,Accused,5001,4410,0.825
72,Accused,5158,4557,0.925
73,Accused,138,102,0.95
73,Accused,352,289,0.875
73,Accused,628,516,0.95
73,Accused,1030,887,0.825
73,Accused,1121,965,0.875
74,Accused,139,102,0.925
74,Accused,1071,922,0.875
74,Accused,1355,1164,0.9
74,Accused,4698,4135,0.85
74,Accused,5395,4775,0.925
75,Accused,140,103,0.875
75,Accused,309,249,0.825
75,Accused,1845,1571,0.875
75,Accused,3507,3054,0.825
76,Accused,142,105,0.925
76,Accused,3774,3292,0.925
76,Accused,4560,4013,0.925
76,Accused,5106,4506,0.925
77,Accused,143,107,0.95
77,Accused,552,451,0.9
77,Accused,1544,1314,0.825
77,Accused,1747,1480,0.825
77,Accused,3810,3331,0.825
77,Accused,5083,4488,0.95
78,Accused,146,110,0.875
78,Accused,694,577,0.825
78,Accused,2319,1994,0.875
78,Accused,4981,4384,0.875
79,Accused,148,112,0.925
79,Accused,199,153,0.875
79,Accused,732,618,0.875
79,Accused,1222,1044,0.825
79,Accused,1785,1513,0.925
79,Accused,1963,1676,0.875
79,Accused,3321,2892,0.825
79,Accused,4394,3876,0.875
79,Accused,4745,4186,0.925
79,Accused,5459,4830,0.825
80,Accused,149,113,0.925
80,Accused,169,131,0.9
80,Accused,534,434,0.825
80,Accused,635,521,0.9
80,Accused,664,548,0.825
80,Accused,1461,1246,0.925
80,Accused,2496,2155,0.875
80,Accused,2935,2550,0.9
80,Accused,4153,3654,0.925
80,Accused,4456,3923,0.875
80,Accused,4703,4139,0.925
81,Accused,150,114,0.925
81,Accused,192,149,0.825
81,Accused,1167,1004,0.875
81,Accused,1788,1516,0.875
81,Accused,3579,3118,0.925
81,Accused,3930,3447,0.825
81,Accused,4229,3722,0.875
81,Accused,5650,4974,0.875
82,Accused,151,115,0.9
82,Accused,692,575,1.0
82,Accused,4446,3915,1.0
83,Accused,152,117,0.925
83,Accused,394,320,0.9
83,Accused,742,626,0.925
83,Accused,783,663,0.9
83,Accused,4186,3686,0.925
83,Accused,4309,3801,0.925
84,Accused,153,119,0.925
84,Accused,407,334,0.825
84,Accused,472,386,0.925
84,Accused,4235,3724,0.875
84,Accused,4529,3988,0.925
85,Accused,154,120,0.95
85,Accused,2059,1770,0.95
85,Accused,2853,2475,0.9
85,Accused,3611,3149,0.875
85,Accused,4443,3914,0.85
86,Accused,155,120,0.925
86,Accused,496,403,0.925
86,Accused,2763,2389,0.875
86,Accused,4135,3632,0.875
86,Accused,4508,3967,0.925
86,Accused,4859,4289,0.925
86,Accused,5059,4470,0.925
86,Accused,5290,4686,0.85
87,Accused,156,120,0.95
87,Accused,1992,1697,0.95
88,Accused,157,122,0.925
88,Accused,469,385,0.925
88,Accused,1150,988,0.875
88,Accused,1226,1046,0.875
88,Accused,1964,1676,0.925
88,Accused,2089,1795,0.825
88,Accused,2140,1839,0.85
88,Accused,2315,1987,0.925
88,Accused,3509,3056,0.9
88,Accused,3581,3120,0.925
88,Accused,3705,3233,0.875
89,Accused,158,123,1.0
89,Accused,997,857,0.925
89,Accused,1039,893,0.9
89,Accused,1912,1637,0.875
89,Accused,2023,1727,1.0
89,Accused,2295,1974,0.875
89,Accused,2698,2333,0.875
89,Accused,3438,2990,0.875
89,Accused,3691,3225,0.825
89,Accused,3700,3231,0.95
89,Accused,4995,4404,0.925
90,Accused,159,124,0.95
90,Accused,843,724,0.925
90,Accused,1525,1301,0.95
90,Accused,2404,2072,0.925
90,Accused,2715,2349,0.875
90,Accused,2975,2583,0.925
90,Accused,4040,3546,0.875
90,Accused,4639,4080,0.95
90,Accused,4835,4271,0.85
90,Accused,4902,4323,0.825
91,Accused,160,125,0.925
91,Accused,418,342,0.9
91,Accused,1965,1678,0.85
91,Accused,2762,2388,0.85
91,Accused,2835,2458,0.875
91,Accused,3808,3330,0.825
91,Accused,3911,3432,0.85
91,Accused,4671,4107,0.925
91,Accused,4827,4263,0.875
91,Accused,5404,4785,0.925
92,Accused,162,126,0.925
92,Accused,1459,1246,0.875
92,Accused,1995,1699,0.875
92,Accused,4311,3805,0.825
92,Accused,5432,4809,0.925
93,Accused,163,128,0.9
93,Accused,467,383,0.9
93,Accused,914,786,0.85
94,Accused,164,128,0.95
94,Accused,268,215,0.825
94,Accused,897,773,0.875
94,Accused,2284,1962,0.825
94,Accused,2410,2074,0.825
94,Accused,2626,2273,0.95
94,Accused,4174,3677,0.925
94,Accused,4244,3733,0.9
94,Accused,5257,4646,0.825
95,Accused,165,130,0.875
95,Accused,1306,1117,0.825
95,Accused,1442,1234,0.875
95,Accused,4226,3720,0.875
95,Accused,4932,4345,0.875
96,Accused,166,130,0.95
96,Accused,4151,3650,0.95
96,Accused,4973,4378,0.9
97,Accused,167,131,0.95
97,Accused,4166,3669,0.95
97,Accused,5317,4709,0.95
98,Accused,168,131,0.925
98,Accused,285,228,0.825
98,Accused,412,339,0.875
98,Accused,778,660,0.925
98,Accused,2080,1791,0.825
98,Accused,2149,1844,0.875
98,Accused,2153,1848,0.825
98,Accused,2812,2441,0.875
98,Accused,3738,3260,0.825
98,Accused,3960,3475,0.875
98,Accused,5560,4901,0.875
98,Accused,5603,4939,0.875
99,Accused,170,132,0.925
99,Accused,323,264,0.825
99,Accused,898,773,0.925
99,Accused,2071,1783,0.925
99,Accused,2258,1937,0.825
99,Accused,3871,3391,0.875
99,Accused,4108,3607,0.825
100,Accused,171,133,1.0
100,Accused,618,508,1.0
100,Accused,702,586,0.95
100,Accused,963,824,1.0
100,Accused,2458,2117,0.925
100,Accused,2477,2136,1.0
100,Accused,3210,2794,0.95
101,Accused,173,134,0.9
101,Accused,735,620,0.875
101,Accused,1799,1528,0.9
101,Accused,3444,2998,0.825
102,Accused,174,134,0.875
102,Accused,311,251,0.875
102,Accused,824,703,0.825
102,Accused,1541,1313,0.875
102,Accused,5371,4749,0.875
103,Accused,175,135,0.95
103,Accused,378,306,0.95
103,Accused,657,541,0.9
103,Accused,1395,1199,0.9
103,Accused,2534,2187,0.925
103,Accused,4501,3960,0.925
103,Accused,5063,4472,0.9
103,Accused,5604,4940,0.95
104,Accused,176,138,0.875
104,Accused,3051,2650,0.875
104,Accused,4344,3834,0.875
105,Accused,177,139,0.85
105,Accused,1814,1539,0.85
105,Accused,5652,4976,0.85
106,Accused,178,140,0.875
106,Accused,341,279,0.825
106,Accused,377,306,0.875
106,Accused,1197,1029,0.875
106,Accused,2233,1913,0.875
106,Accused,3993,3500,0.875
106,Accused,4495,3954,0.825
106,Accused,4667,4103,0.875
106,Accused,5491,4852,0.875
107,Accused,179,141,1.0
107,Accused,243,190,0.85
107,Accused,296,239,0.825
107,Accused,826,705,0.9
107,Accused,1186,1017,1.0
107,Accused,3538,3080,0.9
107,Accused,4967,4374,1.0
108,Accused,180,142,1.0
108,Accused,347,284,0.875
108,Accused,1740,1475,0.825
108,Accused,2532,2186,0.825
108,Accused,2571,2216,1.0
108,Accused,3240,2815,0.875
109,Accused,181,143,1.0
109,Accused,960,822,0.925
109,Accused,1028,885,1.0
109,Accused,2640,2283,0.925
109,Accused,2832,2457,0.875
109,Accused,3569,3108,0.875
109,Accused,3698,3228,1.0
109,Accused,3863,3382,0.875
109,Accused,3969,3484,0.825
109,Accused,4147,3646,0.925
109,Accused,5387,4766,0.925
110,Accused,182,143,0.875
110,Accused,2808,2438,0.875
110,Accused,2816,2443,0.875
110,Accused,3426,2981,0.825
111,Accused,183,144,0.875
111,Accused,800,680,0.875
111,Accused,1164,1001,1.0
111,Accused,2169,1858,1.0
112,Accused,184,145,0.925
112,Accused,1481,1262,0.9
112,Accused,2344,2016,0.925
112,Accused,3143,2733,0.825
112,Accused,4553,4008,0.825
112,Accused,5506,4865,0.925
113,Accused,186,145,1.0
113,Accused,2267,1943,1.0
113,Accused,2900,2519,1.0
113,Accused,3962,3477,0.925
113,Accused,5016,4424,1.0
114,Accused,188,147,0.9
114,Accused,3840,3358,0.9
114,Accused,4090,3590,0.875
114,Accused,4636,4077,0.875
115,Accused,190,149,1.0
115,Accused,1432,1226,0.85
115,Accused,3267,2846,1.0
115,Accused,4818,4252,0.95
115,Accused,5188,4583,1.0
116,Accused,193,150,0.95
116,Accused,1033,889,0.95
116,Accused,2528,2183,0.85
117,Accused,194,150,0.925
117,Accused,744,629,0.925
117,Accused,3281,2857,0.9
117,Accused,3596,3134,0.925
118,Accused,195,151,1.0
118,Accused,1009,867,0.95
118,Accused,2005,1710,0.875
118,Accused,2395,2064,1.0
118,Accused,2629,2275,0.85
118,Accused,4409,3891,1.0
118,Accused,4579,4031,0.85
119,Accused,196,151,1.0
119,Accused,1280,1094,1.0
119,Accused,1315,1130,0.925
119,Accused,1321,1137,1.0
119,Accused,1460,1246,0.925
119,Accused,1520,1298,0.95
119,Accused,3046,2644,0.9
119,Accused,3501,3046,1.0
119,Accused,4413,3896,0.95
119,Accused,4546,4003,0.875
119,Accused,5007,4415,0.925
120,Accused,197,152,0.875
120,Accused,266,214,0.825
120,Accused,988,847,0.825
120,Accused,2183,1873,0.875
