CaseMasterID,CrimeNo,CrimeRegisteredDate,PoliceStation,District,CaseCategory,Gravity,CrimeMajorHead,CrimeMinorHead,CaseStatus,Court,IncidentFromDate,latitude,longitude,BriefFacts,FinalReportType
22,100010007202400002,2024-03-27,KR Market PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Chain Snatching,Charge Sheeted,Bengaluru City District & Sessions Court,2024-03-27 02:00:00,12.976622,77.571963,Unknown accused on motorcycle snatched 20 gram gold chain from complainant near Belagavi Fort Road at around 1700 hours and escaped.,A
23,100010007202400003,2024-02-13,KR Market PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Chain Snatching,Charge Sheeted,Bengaluru City District & Sessions Court,2024-02-13 22:00:00,12.963144,77.571711,Unknown accused on motorcycle snatched 40 gram gold chain from complainant near KR Market at around 1030 hours and escaped.,A
24,100010008202600003,2026-03-17,Cubbon Park PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Chain Snatching,Closed - Undetected,Bengaluru City District & Sessions Court,2026-03-16 10:00:00,12.965087,77.574569,Unknown accused on motorcycle snatched 20 gram gold chain from complainant near Majestic Bus Stand at around 2230 hours and escaped.,C
25,100010007202600002,2026-06-16,KR Market PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Chain Snatching,Convicted,Bengaluru City District & Sessions Court,2026-06-16 09:00:00,12.98001,77.573246,Two persons on a red Activa scooter approached the complainant walking near Electronic City Phase 1 and the pillion rider snatched the gold chain weighing approx 30 grams from her neck and sped away towards ring road.,A
27,100010007202600004,2026-07-17,KR Market PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Chain Snatching,Charge Sheeted,Bengaluru City District & Sessions Court,2026-07-16 12:00:00,12.962501,77.555111,Unknown accused on motorcycle snatched 25 gram gold chain from complainant near Majestic Bus Stand at around 0630 hours and escaped.,A
28,100010008202200001,2022-11-28,Cubbon Park PS,Bengaluru City,FIR,Non-Heinous,Economic Offences,Cheating,Charge Sheeted,Bengaluru City District & Sessions Court,2022-11-28 17:00:00,12.953495,77.596369,Complainant reported the incident of cheating which occurred near Electronic City Phase 1. Investigation taken up.,A
29,100060019202400001,2024-10-25,Kalaburagi Station Bazaar PS,Kalaburagi,FIR,Non-Heinous,Crimes Against Property,House Burglary,Charge Sheeted,Kalaburagi District & Sessions Court,2024-10-24 02:00:00,17.349679,76.856287,Unknown persons broke open the door lock of the complainant's house at Hubballi Old Bus Stand during daytime when occupants were away and committed theft of gold ornaments and cash worth Rs. 120000.,A
30,100070020202500001,2025-12-02,Hubballi Town PS,Hubballi-Dharwad,FIR,Non-Heinous,Crimes Against Property,House Burglary,Closed - Undetected,Hubballi-Dharwad District & Sessions Court,2025-12-02 17:00:00,15.377702,75.118717,Unknown persons broke open the door lock of the complainant's house at MG Road during daytime when occupants were away and committed theft of gold ornaments and cash worth Rs. 25000.,C
31,100020013202400001,2024-03-16,Nelamangala PS,Bengaluru Rural,FIR,Non-Heinous,Economic Offences,Cheating,Convicted,Bengaluru Rural District & Sessions Court,2024-03-14 13:00:00,13.116228,77.413018,Complainant reported the incident of cheating which occurred near Koramangala 5th Block. Investigation taken up.,A
32,100010012202600001,2026-08-23,Yelahanka PS,Bengaluru City,FIR,Non-Heinous,Cyber Crimes,Online Financial Fraud,Charge Sheeted,Bengaluru City District & Sessions Court,2026-08-21 20:00:00,13.115593,77.589849,Online fraud: complainant lost Rs. 200000 in fake part-time job scheme advertised on social media.,A
34,100060019202500001,2025-05-27,Kalaburagi Station Bazaar PS,Kalaburagi,FIR,Heinous,Crimes Against Body,Attempt to Murder,Convicted,Kalaburagi District & Sessions Court,2025-05-27 06:00:00,17.352297,76.835618,Complainant reported the incident of attempt to murder which occurred near Jayanagar 4th Block. Investigation taken up.,A
38,100010011202500001,2025-12-11,Whitefield PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Body,Simple Hurt,Acquitted,Bengaluru City District & Sessions Court,2025-12-09 07:00:00,12.982496,77.757184,Altercation between complainant and accused over money matter near Banashankari Temple; accused assaulted complainant with hands and iron rod causing simple injuries.,A
39,100050018202200001,2022-11-19,Belagavi Market PS,Belagavi,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Acquitted,Belagavi District & Sessions Court,2022-11-19 16:00:00,15.8284,74.476003,Complainant reported the incident of ordinary theft which occurred near Mysuru Devaraja Market. Investigation taken up.,A
40,100030016202100001,2021-12-28,Mysuru VV Puram PS,Mysuru,FIR,Non-Heinous,Crimes Against Body,Simple Hurt,Closed - Undetected,Mysuru District & Sessions Court,2021-12-27 17:00:00,12.311865,76.650806,Altercation between complainant and accused over land dispute near MG Road; accused assaulted complainant with hands and club causing simple injuries.,C
44,100040017202600001,2026-02-15,Mangaluru North PS,Mangaluru City,FIR,Heinous,Crimes Against Women,Molestation,Convicted,Mangaluru City District & Sessions Court,2026-02-14 08:00:00,12.895604,74.859559,Complainant reported the incident of molestation which occurred near Yelahanka New Town. Investigation taken up.,A
51,100040017202400001,2024-06-18,Mangaluru North PS,Mangaluru City,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Acquitted,Mangaluru City District & Sessions Court,2024-06-18 02:00:00,12.859938,74.829298,Splendor motorcycle KA-41-DF-7492 stolen from parking area near Hubballi Old Bus Stand between 1230 and 1000 hours.,A
53,100020013202400002,2024-04-26,Nelamangala PS,Bengaluru Rural,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Closed - Undetected,Bengaluru Rural District & Sessions Court,2024-04-25 15:00:00,13.126154,77.405839,Complainant reported the incident of ordinary theft which occurred near Majestic Bus Stand. Investigation taken up.,C
54,100010010202500002,2025-01-12,Koramangala PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Women,Cruelty by Husband/Relatives,Closed - False Case,Bengaluru City District & Sessions Court,2025-01-12 02:00:00,12.937477,77.606963,Complainant reported the incident of cruelty by husband/relatives which occurred near Belagavi Fort Road. Investigation taken up.,B
55,100050018202200002,2022-11-06,Belagavi Market PS,Belagavi,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Charge Sheeted,Belagavi District & Sessions Court,2022-11-04 18:00:00,15.829557,74.510069,Complainant reported the incident of ordinary theft which occurred near Banashankari Temple. Investigation taken up.,A
56,100010009202400001,2024-07-13,Jayanagar PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Convicted,Bengaluru City District & Sessions Court,2024-07-13 09:00:00,12.912565,77.560757,Splendor motorcycle KA-05-BF-8909 stolen from parking area near MG Road between 1130 and 1100 hours.,A
58,100050018202400001,2024-10-02,Belagavi Market PS,Belagavi,FIR,Non-Heinous,Crimes Against Property,House Burglary,Convicted,Belagavi District & Sessions Court,2024-10-01 02:00:00,15.853631,74.48341,Unknown persons broke open the door lock of the complainant's house at Belagavi Fort Road during night hours and committed theft of gold ornaments and cash worth Rs. 120000.,A
59,100070020202500002,2025-06-17,Hubballi Town PS,Hubballi-Dharwad,FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Acquitted,Hubballi-Dharwad District & Sessions Court,2025-06-15 18:00:00,15.343755,75.105062,Complainant reported the incident of criminal breach of trust which occurred near Mysuru Devaraja Market. Investigation taken up.,A
60,100070020202200001,2022-03-24,Hubballi Town PS,Hubballi-Dharwad,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Closed - Undetected,Hubballi-Dharwad District & Sessions Court,2022-03-24 06:00:00,15.377068,75.129675,Activa scooter KA-01-EG-3222 stolen from parking area near Shivajinagar between 1700 and 2200 hours.,C
61,100010011202600001,2026-01-15,Whitefield PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,House Burglary,Acquitted,Bengaluru City District & Sessions Court,2026-01-14 23:00:00,12.961381,77.768252,Unknown persons broke open the door lock of the complainant's house at Electronic City Phase 1 during daytime when occupants were away and committed theft of gold ornaments and cash worth Rs. 200000.,A
62,100040017202500001,2025-02-22,Mangaluru North PS,Mangaluru City,FIR,Heinous,Crimes Against Body,Murder,Closed - False Case,Mangaluru City District & Sessions Court,2025-02-21 08:00:00,12.880268,74.841013,"Due to previous enmity over trivial issue, the accused assaulted the deceased with stone near Banashankari Temple resulting in death.",B
63,100030016202600001,2026-09-06,Mysuru VV Puram PS,Mysuru,FIR,Non-Heinous,Economic Offences,Cheating,Closed - Undetected,Mysuru District & Sessions Court,2026-09-05 10:00:00,12.296045,76.668077,Complainant reported the incident of cheating which occurred near Electronic City Phase 1. Investigation taken up.,C
64,100010012202600002,2026-01-09,Yelahanka PS,Bengaluru City,FIR,Heinous,Crimes Against Body,Murder,Closed - Undetected,Bengaluru City District & Sessions Court,2026-01-09 04:00:00,13.100137,77.610547,"Due to previous enmity over money matter, the accused assaulted the deceased with knife near Whitefield Main Road resulting in death.",C
66,100010012202500001,2025-04-27,Yelahanka PS,Bengaluru City,FIR,Non-Heinous,Economic Offences,Cheating,Charge Sheeted,Bengaluru City District & Sessions Court,2025-04-27 22:00:00,13.082342,77.598902,Complainant reported the incident of cheating which occurred near Banashankari Temple. Investigation taken up.,A
67,100020014202300001,2023-06-20,Devanahalli PS,Bengaluru Rural,FIR,Non-Heinous,Cyber Crimes,Online Financial Fraud,Convicted,Bengaluru Rural District & Sessions Court,2023-06-19 12:00:00,13.260725,77.700058,Online fraud: complainant lost Rs. 200000 in fake KYC update scheme advertised on social media.,A
68,100020014202100001,2021-07-03,Devanahalli PS,Bengaluru Rural,FIR,Non-Heinous,Crimes Against Property,Chain Snatching,Closed - Undetected,Bengaluru Rural District & Sessions Court,2021-07-02 16:00:00,13.269532,77.726381,Two persons on a red Activa scooter approached the complainant walking near MG Road and the pillion rider snatched the gold chain weighing approx 20 grams from her neck and sped away towards Market side.,C
69,100010006202100002,2021-07-18,Upparpet PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Convicted,Bengaluru City District & Sessions Court,2021-07-16 21:00:00,12.997787,77.574669,Bolero KA-01-BD-1035 stolen from parking area near Banashankari Temple between 1630 and 1700 hours.,A
70,100010012202200001,2022-02-13,Yelahanka PS,Bengaluru City,FIR,Non-Heinous,Cyber Crimes,Online Financial Fraud,Charge Sheeted,Bengaluru City District & Sessions Court,2022-02-12 01:00:00,13.112418,77.575098,"Complainant received a call from unknown person posing as bank official and was induced to share OTP, following which Rs. 350000 was fraudulently transferred from his account.",A
72,100010009202500002,2025-01-15,Jayanagar PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Closed - Undetected,Bengaluru City District & Sessions Court,2025-01-15 16:00:00,12.943903,77.587112,Splendor motorcycle KA-01-ED-8259 stolen from parking area near MG Road between 1830 and 1600 hours.,C
73,100010011202400001,2024-05-05,Whitefield PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Closed - False Case,Bengaluru City District & Sessions Court,2024-05-05 01:00:00,12.960641,77.761335,Complainant reported the incident of ordinary theft which occurred near Majestic Bus Stand. Investigation taken up.,B
74,100040017202500002,2025-11-22,Mangaluru North PS,Mangaluru City,FIR,Heinous,Crimes Against Body,Murder,Charge Sheeted,Mangaluru City District & Sessions Court,2025-11-22 12:00:00,12.880168,74.832321,"Due to previous enmity over land dispute, the accused assaulted the deceased with club near KR Market resulting in death.",A
75,100010008202100001,2021-03-18,Cubbon Park PS,Bengaluru City,FIR,Non-Heinous,Economic Offences,Cheating,Closed - False Case,Bengaluru City District & Sessions Court,2021-03-17 13:00:00,12.971307,77.590258,Complainant reported the incident of cheating which occurred near Shivajinagar. Investigation taken up.,B
76,100010006202500001,2025-09-02,Upparpet PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Body,Simple Hurt,Closed - False Case,Bengaluru City District & Sessions Court,2025-08-31 11:00:00,12.966143,77.584721,Altercation between complainant and accused over old rivalry near City Railway Station; accused assaulted complainant with hands and club causing simple injuries.,B
78,100020014202500001,2025-04-18,Devanahalli PS,Bengaluru Rural,FIR,Non-Heinous,Cyber Crimes,Online Financial Fraud,Charge Sheeted,Bengaluru Rural District & Sessions Court,2025-04-17 07:00:00,13.252019,77.698207,Online fraud: complainant lost Rs. 120000 in fake part-time job scheme advertised on social media.,A
79,100040017202100001,2021-11-26,Mangaluru North PS,Mangaluru City,FIR,Non-Heinous,Crimes Against Property,House Burglary,Charge Sheeted,Mangaluru City District & Sessions Court,2021-11-26 22:00:00,12.84543,74.850028,House breaking at KR Market; accused gained entry through rear window and stole valuables worth approx Rs. 200000.,A
81,100010010202200001,2022-04-20,Koramangala PS,Bengaluru City,FIR,Non-Heinous,Economic Offences,Cheating,Convicted,Bengaluru City District & Sessions Court,2022-04-19 19:00:00,12.917239,77.634532,Complainant reported the incident of cheating which occurred near Shivajinagar. Investigation taken up.,A
82,100040017202200001,2022-08-13,Mangaluru North PS,Mangaluru City,FIR,Non-Heinous,Economic Offences,Cheating,Closed - False Case,Mangaluru City District & Sessions Court,2022-08-13 02:00:00,12.85051,74.840764,Complainant reported the incident of cheating which occurred near Mysuru Devaraja Market. Investigation taken up.,B
83,100010009202600002,2026-03-22,Jayanagar PS,Bengaluru City,FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Closed - Undetected,Bengaluru City District & Sessions Court,2026-03-21 17:00:00,12.909193,77.584251,Complainant reported the incident of criminal breach of trust which occurred near Whitefield Main Road. Investigation taken up.,C
84,100020013202300001,2023-04-20,Nelamangala PS,Bengaluru Rural,FIR,Heinous,Crimes Against Body,Attempt to Murder,Closed - Undetected,Bengaluru Rural District & Sessions Court,2023-04-20 02:00:00,13.092118,77.398979,Complainant reported the incident of attempt to murder which occurred near KR Market. Investigation taken up.,C
85,100030016202500003,2025-08-25,Mysuru VV Puram PS,Mysuru,FIR,Non-Heinous,Economic Offences,Cheating,Acquitted,Mysuru District & Sessions Court,2025-08-24 03:00:00,12.332434,76.667569,Complainant reported the incident of cheating which occurred near Hubballi Old Bus Stand. Investigation taken up.,A
88,100020014202100002,2021-12-07,Devanahalli PS,Bengaluru Rural,FIR,Non-Heinous,Crimes Against Body,Simple Hurt,Charge Sheeted,Bengaluru Rural District & Sessions Court,2021-12-06 11:00:00,13.240989,77.708263,Altercation between complainant and accused over land dispute near Jayanagar 4th Block; accused assaulted complainant with hands and stone causing simple injuries.,A
89,100040017202500003,2025-11-15,Mangaluru North PS,Mangaluru City,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Closed - Undetected,Mangaluru City District & Sessions Court,2025-11-15 23:00:00,12.852317,74.861147,Splendor motorcycle KA-01-HA-1431 stolen from parking area near Mysuru Devaraja Market between 1130 and 0900 hours.,C
90,100010007202200001,2022-09-01,KR Market PS,Bengaluru City,FIR,Non-Heinous,Economic Offences,Cheating,Closed - Undetected,Bengaluru City District & Sessions Court,2022-08-31 17:00:00,12.957327,77.596649,Complainant reported the incident of cheating which occurred near Belagavi Fort Road. Investigation taken up.,C
91,100030015202300001,2023-01-26,Mysuru Lakshmipuram PS,Mysuru,FIR,Non-Heinous,Economic Offences,Cheating,Closed - Undetected,Mysuru District & Sessions Court,2023-01-25 12:00:00,12.288366,76.675857,Complainant reported the incident of cheating which occurred near Electronic City Phase 1. Investigation taken up.,C
94,100080021202300002,2023-12-02,Shivamogga Doddapete PS,Shivamogga,FIR,Non-Heinous,Crimes Against Body,Simple Hurt,Closed - Undetected,Shivamogga District & Sessions Court,2023-12-01 10:00:00,13.913131,75.551161,Altercation between complainant and accused over money matter near Belagavi Fort Road; accused assaulted complainant with hands and club causing simple injuries.,C
95,100010011202600002,2026-02-05,Whitefield PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Convicted,Bengaluru City District & Sessions Court,2026-02-03 20:00:00,12.969009,77.728311,Complainant reported the incident of grievous hurt which occurred near Jayanagar 4th Block. Investigation taken up.,A
96,100010011202200001,2022-09-19,Whitefield PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Closed - False Case,Bengaluru City District & Sessions Court,2022-09-17 11:00:00,12.983103,77.764394,Complainant reported the incident of ordinary theft which occurred near Mysuru Devaraja Market. Investigation taken up.,B
97,100010006202500002,2025-03-10,Upparpet PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Public Order,Unlawful Assembly,Charge Sheeted,Bengaluru City District & Sessions Court,2025-03-08 08:00:00,12.995928,77.545446,Complainant reported the incident of unlawful assembly which occurred near Yelahanka New Town. Investigation taken up.,A
98,100010009202300001,2023-07-28,Jayanagar PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Convicted,Bengaluru City District & Sessions Court,2023-07-28 09:00:00,12.938037,77.590946,Splendor motorcycle KA-41-GH-9269 stolen from parking area near Majestic Bus Stand between 1600 and 1000 hours.,A
99,100010010202500003,2025-07-05,Koramangala PS,Bengaluru City,FIR,Non-Heinous,Economic Offences,Cheating,Charge Sheeted,Bengaluru City District & Sessions Court,2025-07-03 19:00:00,12.929542,77.628356,Complainant reported the incident of cheating which occurred near Belagavi Fort Road. Investigation taken up.,A
100,100010010202100002,2021-12-20,Koramangala PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Convicted,Bengaluru City District & Sessions Court,2021-12-19 14:00:00,12.926728,77.640948,Complainant reported the incident of grievous hurt which occurred near Majestic Bus Stand. Investigation taken up.,A
104,100010007202200002,2022-09-24,KR Market PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Closed - False Case,Bengaluru City District & Sessions Court,2022-09-23 09:00:00,12.947812,77.571089,Complainant reported the incident of ordinary theft which occurred near Yelahanka New Town. Investigation taken up.,B
105,100070020202600001,2026-12-04,Hubballi Town PS,Hubballi-Dharwad,FIR,Non-Heinous,Crimes Against Body,Simple Hurt,Closed - Undetected,Hubballi-Dharwad District & Sessions Court,2026-12-02 05:00:00,15.376963,75.149686,Altercation between complainant and accused over old rivalry near Hebbal Flyover; accused assaulted complainant with hands and knife causing simple injuries.,C
107,100030016202200001,2022-02-09,Mysuru VV Puram PS,Mysuru,FIR,Non-Heinous,Crimes Against Women,Cruelty by Husband/Relatives,Charge Sheeted,Mysuru District & Sessions Court,2022-02-09 18:00:00,12.321585,76.654057,Complainant reported the incident of cruelty by husband/relatives which occurred near Yelahanka New Town. Investigation taken up.,A
108,100030016202300001,2023-02-17,Mysuru VV Puram PS,Mysuru,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Closed - Undetected,Mysuru District & Sessions Court,2023-02-15 00:00:00,12.302425,76.66013,Complainant parked his Activa scooter bearing registration KA-04-CH-9797 near Malleshwaram 8th Cross. On return the vehicle was found stolen.,C
109,100010009202500003,2025-10-20,Jayanagar PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Convicted,Bengaluru City District & Sessions Court,2025-10-20 08:00:00,12.941895,77.573773,Swift car KA-02-BF-1612 stolen from parking area near Banashankari Temple between 1500 and 2200 hours.,A
111,100010008202600004,2026-05-06,Cubbon Park PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Charge Sheeted,Bengaluru City District & Sessions Court,2026-05-04 01:00:00,12.952015,77.56744,Complainant reported the incident of ordinary theft which occurred near Hubballi Old Bus Stand. Investigation taken up.,A
112,100030016202300002,2023-07-22,Mysuru VV Puram PS,Mysuru,FIR,Non-Heinous,Crimes Against Body,Simple Hurt,Closed - Undetected,Mysuru District & Sessions Court,2023-07-22 11:00:00,12.310325,76.624506,Altercation between complainant and accused over money matter near Hubballi Old Bus Stand; accused assaulted complainant with hands and knife causing simple injuries.,C
113,100010008202400001,2024-03-13,Cubbon Park PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Convicted,Bengaluru City District & Sessions Court,2024-03-11 21:00:00,12.980711,77.573384,Complainant parked his Bolero bearing registration KA-05-EG-8326 near Belagavi Fort Road. On return the vehicle was found stolen.,A
114,100010009202600003,2026-09-12,Jayanagar PS,Bengaluru City,FIR,Non-Heinous,Economic Offences,Cheating,Convicted,Bengaluru City District & Sessions Court,2026-09-11 20:00:00,12.916489,77.594731,Complainant reported the incident of cheating which occurred near Majestic Bus Stand. Investigation taken up.,A
115,100070020202500003,2025-03-14,Hubballi Town PS,Hubballi-Dharwad,FIR,Non-Heinous,Crimes Against Property,Chain Snatching,Charge Sheeted,Hubballi-Dharwad District & Sessions Court,2025-03-13 23:00:00,15.360634,75.097375,Unknown accused on motorcycle snatched 40 gram gold chain from complainant near Whitefield Main Road at around 1700 hours and escaped.,A
119,100010012202100001,2021-01-02,Yelahanka PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Acquitted,Bengaluru City District & Sessions Court,2020-12-31 04:00:00,13.111947,77.575758,Complainant reported the incident of ordinary theft which occurred near Jayanagar 4th Block. Investigation taken up.,A
121,100010009202600004,2026-04-13,Jayanagar PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Closed - Undetected,Bengaluru City District & Sessions Court,2026-04-11 06:00:00,12.90836,77.590978,Complainant parked his Swift car bearing registration KA-04-HA-1606 near Belagavi Fort Road. On return the vehicle was found stolen.,C
122,100010006202100003,2021-01-16,Upparpet PS,Bengaluru City,FIR,Heinous,Crimes Against Women,Molestation,Charge Sheeted,Bengaluru City District & Sessions Court,2021-01-16 05:00:00,12.962791,77.579343,Complainant reported the incident of molestation which occurred near KR Market. Investigation taken up.,A
123,100050018202200003,2022-02-21,Belagavi Market PS,Belagavi,FIR,Non-Heinous,Economic Offences,Cheating,Closed - Undetected,Belagavi District & Sessions Court,2022-02-21 22:00:00,15.827036,74.471063,Complainant reported the incident of cheating which occurred near Belagavi Fort Road. Investigation taken up.,C
125,100010012202100002,2021-04-28,Yelahanka PS,Bengaluru City,FIR,Heinous,Crimes Against Women,Molestation,Charge Sheeted,Bengaluru City District & Sessions Court,2021-04-27 04:00:00,13.099132,77.595457,Complainant reported the incident of molestation which occurred near City Railway Station. Investigation taken up.,A
126,100010006202500003,2025-08-09,Upparpet PS,Bengaluru City,FIR,Non-Heinous,Economic Offences,Cheating,Closed - Undetected,Bengaluru City District & Sessions Court,2025-08-09 18:00:00,12.963069,77.567746,Complainant reported the incident of cheating which occurred near MG Road. Investigation taken up.,C
