CSID,CaseMasterID,csdate,cstype,PolicePersonID
47,69,2021-11-25 00:00:00,A,1005
48,70,2022-12-02 00:00:00,A,1051
49,72,2025-03-06 00:00:00,C,1027
50,73,2025-02-02 00:00:00,B,1039
51,74,2026-01-28 00:00:00,A,1088
52,75,2021-04-22 00:00:00,B,1016
53,76,2025-12-19 00:00:00,B,1004
54,78,2025-09-14 00:00:00,A,1063
55,79,2022-02-03 00:00:00,A,1092
56,81,2022-12-25 00:00:00,A,1030
57,82,2023-04-03 00:00:00,B,1086
58,83,2027-01-11 00:00:00,C,1025
59,84,2023-11-29 00:00:00,C,1057
60,85,2026-01-25 00:00:00,A,1082
61,88,2022-05-22 00:00:00,A,1064
62,89,2026-02-17 00:00:00,C,1092
63,90,2023-06-02 00:00:00,C,1012
64,91,2023-07-19 00:00:00,C,1066
65,94,2024-09-24 00:00:00,C,1118
66,95,2026-06-12 00:00:00,A,1038
67,96,2022-10-27 00:00:00,B,1043
68,97,2025-09-27 00:00:00,A,1002
69,98,2024-03-18 00:00:00,A,1023
70,99,2025-09-16 00:00:00,A,1030
71,100,2022-03-10 00:00:00,A,1031
72,104,2023-01-15 00:00:00,B,1007
73,105,2027-05-25 00:00:00,C,1106
74,107,2022-08-02 00:00:00,A,1083
75,108,2023-06-11 00:00:00,C,1076
76,109,2026-05-05 00:00:00,A,1028
77,111,2026-10-15 00:00:00,A,1017
78,112,2023-10-09 00:00:00,C,1080
79,113,2024-04-12 00:00:00,A,1017
80,114,2027-05-17 00:00:00,A,1028
81,115,2025-09-29 00:00:00,A,1108
82,119,2021-05-23 00:00:00,A,1050
83,121,2026-09-09 00:00:00,C,1024
84,122,2021-03-07 00:00:00,A,1005
85,123,2022-12-07 00:00:00,C,1093
86,125,2021-09-15 00:00:00,A,1046
87,126,2026-05-03 00:00:00,C,1006
88,127,2023-07-15 00:00:00,C,1085
89,128,2023-01-20 00:00:00,C,1051
90,129,2021-04-07 00:00:00,A,1080
91,130,2021-11-04 00:00:00,A,1060
92,131,2024-08-04 00:00:00,B,1046
93,132,2026-04-13 00:00:00,A,1063
94,134,2023-05-28 00:00:00,A,1022
95,135,2021-08-31 00:00:00,C,1026
96,137,2025-12-31 00:00:00,A,1034
97,138,2022-05-12 00:00:00,C,1095
98,139,2022-07-14 00:00:00,A,1116
99,141,2022-12-04 00:00:00,A,1070
100,142,2024-02-22 00:00:00,A,1052
101,143,2024-01-25 00:00:00,A,1098
102,144,2026-06-12 00:00:00,A,1111
103,145,2026-11-19 00:00:00,A,1006
104,148,2024-02-28 00:00:00,C,1082
105,149,2022-06-01 00:00:00,B,1064
106,152,2022-08-12 00:00:00,A,1022
107,153,2021-08-27 00:00:00,A,1112
108,154,2026-02-05 00:00:00,C,1072
109,155,2023-12-10 00:00:00,B,1025
110,156,2022-12-22 00:00:00,A,1032
111,157,2026-10-16 00:00:00,C,1111
112,158,2027-03-28 00:00:00,A,1026
113,159,2024-04-27 00:00:00,A,1086
114,161,2021-12-23 00:00:00,A,1003
115,163,2024-06-30 00:00:00,B,1049
116,164,2025-11-30 00:00:00,A,1021
117,168,2026-02-28 00:00:00,A,1087
118,170,2023-05-05 00:00:00,C,1078
119,171,2026-12-14 00:00:00,A,1055
120,172,2023-06-23 00:00:00,A,1015
121,173,2025-01-27 00:00:00,A,1105
122,175,2021-09-06 00:00:00,C,1089
123,177,2026-07-12 00:00:00,A,1024
124,178,2025-02-07 00:00:00,A,1003
125,179,2023-08-05 00:00:00,C,1052
126,183,2026-12-14 00:00:00,A,1037
127,184,2026-04-09 00:00:00,A,1062
128,185,2027-01-15 00:00:00,A,1018
129,186,2026-07-23 00:00:00,A,1098
130,187,2026-10-06 00:00:00,C,1034
131,188,2026-06-10 00:00:00,A,1032
132,191,2026-05-10 00:00:00,A,1037
133,192,2025-09-26 00:00:00,A,1041
134,193,2024-08-29 00:00:00,C,1099
135,194,2023-09-20 00:00:00,A,1036
136,195,2024-12-02 00:00:00,A,1032
137,199,2024-07-08 00:00:00,A,1082
138,200,2026-08-08 00:00:00,A,1113
139,201,2026-10-23 00:00:00,A,1046
140,202,2025-03-28 00:00:00,C,1029
141,203,2022-01-04 00:00:00,C,1088
142,207,2023-06-18 00:00:00,C,1051
143,208,2027-05-13 00:00:00,A,1016
144,209,2024-05-19 00:00:00,C,1107
145,210,2021-11-29 00:00:00,C,1094
146,212,2026-10-07 00:00:00,C,1034
147,213,2024-11-04 00:00:00,C,1104
148,215,2022-03-21 00:00:00,C,1005
149,218,2023-05-28 00:00:00,C,1029
150,219,2026-07-01 00:00:00,A,1003
151,220,2022-05-31 00:00:00,A,1085
152,222,2023-09-30 00:00:00,A,1016
153,223,2022-10-05 00:00:00,C,1067
154,224,2023-04-21 00:00:00,C,1029
155,226,2026-09-15 00:00:00,A,1087
156,227,2022-01-11 00:00:00,A,1080
157,229,2026-07-05 00:00:00,A,1118
158,231,2023-04-05 00:00:00,A,1099
159,232,2021-11-30 00:00:00,A,1020
160,234,2026-03-12 00:00:00,C,1098
161,235,2024-03-13 00:00:00,A,1088
162,238,2024-11-02 00:00:00,A,1049
163,239,2021-12-19 00:00:00,A,1091
164,240,2026-04-27 00:00:00,C,1014
165,242,2024-12-15 00:00:00,A,1059
166,244,2027-05-24 00:00:00,C,1017
167,245,2026-12-31 00:00:00,A,1038
168,247,2023-12-30 00:00:00,A,1052
169,248,2025-06-09 00:00:00,A,1059
170,250,2027-02-16 00:00:00,A,1101
171,252,2023-01-24 00:00:00,C,1095
172,254,2022-12-11 00:00:00,A,1080
173,255,2023-06-08 00:00:00,A,1057
174,256,2023-06-23 00:00:00,A,1104
175,257,2023-07-31 00:00:00,A,1039
176,258,2022-01-07 00:00:00,A,1087
177,259,2025-10-01 00:00:00,C,1114
178,260,2026-10-01 00:00:00,A,1044
179,262,2027-01-05 00:00:00,A,1015
180,263,2024-02-27 00:00:00,A,1098
181,264,2024-07-29 00:00:00,C,1019
182,265,2025-12-29 00:00:00,A,1096
183,266,2025-01-27 00:00:00,A,1038
184,267,2026-05-04 00:00:00,A,1106
185,268,2023-06-30 00:00:00,C,1089
186,270,2025-10-08 00:00:00,C,1045
187,271,2025-03-07 00:00:00,A,1042
188,272,2025-12-18 00:00:00,C,1051
189,273,2023-12-21 00:00:00,A,1049
190,275,2025-07-14 00:00:00,B,1018
191,276,2023-02-14 00:00:00,C,1012
192,277,2026-07-01 00:00:00,C,1036
193,278,2021-03-25 00:00:00,A,1072
194,279,2024-05-23 00:00:00,A,1113
195,280,2024-03-24 00:00:00,A,1007
196,282,2025-12-05 00:00:00,C,1044
197,283,2023-01-10 00:00:00,A,1100
198,285,2026-02-16 00:00:00,A,1014
199,286,2022-10-27 00:00:00,C,1088
200,287,2022-09-02 00:00:00,A,1094
201,288,2025-05-30 00:00:00,A,1051
202,289,2021-04-29 00:00:00,A,1014
203,292,2024-05-13 00:00:00,A,1022
204,295,2026-04-28 00:00:00,A,1008
205,296,2021-11-24 00:00:00,B,1068
206,298,2023-10-27 00:00:00,A,1101
207,299,2021-08-31 00:00:00,A,1008
208,300,2025-02-07 00:00:00,A,1006
209,301,2022-01-22 00:00:00,A,1062
210,302,2026-10-10 00:00:00,A,1001
211,303,2024-12-22 00:00:00,A,1044
212,305,2021-11-11 00:00:00,A,1029
213,306,2024-06-26 00:00:00,A,1039
214,307,2025-02-07 00:00:00,A,1076
215,309,2024-09-24 00:00:00,C,1102
216,310,2025-06-29 00:00:00,A,1029
217,311,2025-07-30 00:00:00,C,1003
218,312,2026-04-09 00:00:00,A,1038
219,314,2023-01-11 00:00:00,A,1001
220,315,2026-03-08 00:00:00,A,1077
221,316,2026-08-31 00:00:00,A,1022
222,317,2025-12-03 00:00:00,A,1092
223,319,2022-10-26 00:00:00,A,1003
224,320,2021-10-18 00:00:00,B,1059
225,321,2023-06-05 00:00:00,A,1094
226,322,2026-03-24 00:00:00,C,1061
227,323,2023-01-16 00:00:00,A,1057
228,324,2023-07-02 00:00:00,C,1034
229,327,2027-06-23 00:00:00,A,1048
230,330,2022-12-18 00:00:00,C,1031
231,332,2023-03-08 00:00:00,A,1033
232,336,2027-07-19 00:00:00,C,1055
233,339,2025-12-20 00:00:00,A,1049
234,340,2022-10-20 00:00:00,A,1059
235,341,2022-09-29 00:00:00,C,1115
236,343,2023-06-25 00:00:00,A,1019
237,344,2024-07-05 00:00:00,C,1043
238,345,2026-07-22 00:00:00,A,1057
239,349,2026-09-24 00:00:00,A,1047
240,350,2023-03-10 00:00:00,A,1116
241,351,2021-10-29 00:00:00,B,1025
242,353,2023-10-29 00:00:00,A,1075
243,354,2024-12-20 00:00:00,C,1105
244,356,2023-07-19 00:00:00,A,1039
245,357,2025-11-01 00:00:00,C,1057
246,358,2021-05-29 00:00:00,C,1121
247,359,2027-08-17 00:00:00,A,1032
248,360,2026-03-14 00:00:00,A,1028
249,361,2025-11-28 00:00:00,A,1107
250,362,2025-05-03 00:00:00,C,1099
251,364,2021-06-20 00:00:00,A,1075
252,365,2022-02-13 00:00:00,C,1096
253,367,2021-08-14 00:00:00,A,1034
254,368,2025-02-12 00:00:00,A,1099
255,373,2021-05-15 00:00:00,A,1095
256,374,2025-02-06 00:00:00,A,1087
257,377,2022-11-19 00:00:00,A,1110
258,379,2021-09-18 00:00:00,C,1112
259,380,2021-11-23 00:00:00,A,1044
260,381,2026-07-24 00:00:00,A,1022
261,382,2027-06-21 00:00:00,B,1003
262,383,2023-06-27 00:00:00,A,1008
263,384,2024-04-20 00:00:00,A,1059
264,385,2024-03-08 00:00:00,A,1120
265,386,2021-04-10 00:00:00,A,1093
266,389,2025-11-21 00:00:00,A,1062
267,392,2023-03-30 00:00:00,A,1070
268,393,2021-09-13 00:00:00,A,1041
269,395,2024-03-10 00:00:00,C,1119
270,396,2023-09-06 00:00:00,A,1015
271,398,2027-05-18 00:00:00,A,1021
272,399,2023-09-12 00:00:00,A,1027
273,400,2026-03-06 00:00:00,A,1034
274,403,2025-10-14 00:00:00,B,1007
275,404,2022-03-14 00:00:00,A,1101
276,406,2024-03-19 00:00:00,A,1001
277,408,2025-02-16 00:00:00,A,1065
278,409,2022-02-27 00:00:00,A,1054
279,410,2022-04-05 00:00:00,C,1111
280,413,2022-10-08 00:00:00,C,1030
281,414,2025-04-18 00:00:00,A,1007
282,415,2022-03-17 00:00:00,A,1088
283,418,2022-11-08 00:00:00,C,1005
284,419,2024-05-07 00:00:00,A,1093
285,420,2023-06-08 00:00:00,A,1034
286,421,2026-05-27 00:00:00,A,1092
287,422,2025-10-08 00:00:00,A,1071
288,426,2026-02-01 00:00:00,A,1073
289,427,2026-07-21 00:00:00,A,1101
290,428,2022-04-18 00:00:00,A,1065
291,429,2021-07-05 00:00:00,A,1079
292,430,2026-01-31 00:00:00,A,1097
293,432,2023-12-27 00:00:00,A,1059
294,433,2026-07-28 00:00:00,C,1080
295,435,2025-03-19 00:00:00,A,1091
296,437,2023-08-06 00:00:00,A,1061
297,440,2021-05-28 00:00:00,A,1105
298,443,2026-06-01 00:00:00,C,1068
299,444,2027-02-17 00:00:00,A,1103
300,445,2027-02-21 00:00:00,C,1100
301,447,2022-05-28 00:00:00,A,1049
302,448,2025-04-20 00:00:00,A,1012
303,449,2022-12-15 00:00:00,A,1038
304,451,2021-08-07 00:00:00,A,1061
305,452,2024-12-18 00:00:00,A,1049
306,453,2022-07-14 00:00:00,A,1100
307,455,2022-02-01 00:00:00,A,1086
308,456,2027-06-25 00:00:00,A,1103
309,458,2023-07-30 00:00:00,C,1026
310,459,2021-10-31 00:00:00,A,1070
311,460,2023-03-20 00:00:00,C,1083
312,462,2025-07-11 00:00:00,A,1053
313,463,2022-03-19 00:00:00,C,1049
314,467,2024-09-18 00:00:00,A,1009
315,468,2025-04-28 00:00:00,C,1018
316,469,2027-07-14 00:00:00,A,1065
317,471,2022-02-05 00:00:00,A,1102
318,472,2023-04-27 00:00:00,C,1105
319,473,2026-04-16 00:00:00,C,1079
320,474,2024-06-26 00:00:00,A,1046
321,475,2027-02-20 00:00:00,B,1034
322,476,2023-06-15 00:00:00,A,1047
323,477,2026-06-12 00:00:00,A,1099
324,480,2026-12-20 00:00:00,A,1086
325,481,2024-07-12 00:00:00,A,1113
326,482,2025-02-12 00:00:00,A,1020
327,483,2022-03-05 00:00:00,A,1017
328,485,2025-01-06 00:00:00,A,1057
329,486,2024-08-02 00:00:00,A,1046
330,487,2022-01-27 00:00:00,A,1075
331,489,2021-12-01 00:00:00,B,1069
332,490,2025-12-25 00:00:00,C,1102
333,492,2022-06-12 00:00:00,A,1053
334,493,2021-11-29 00:00:00,C,1063
335,494,2023-04-22 00:00:00,A,1054
336,495,2022-06-29 00:00:00,A,1101
337,498,2025-02-01 00:00:00,A,1064
338,499,2024-09-28 00:00:00,A,1048
339,502,2025-05-31 00:00:00,A,1017
340,503,2026-06-04 00:00:00,C,1105
341,505,2022-03-15 00:00:00,C,1068
342,506,2023-01-11 00:00:00,C,1060
343,507,2024-12-31 00:00:00,A,1008
344,508,2025-05-07 00:00:00,A,1027
345,511,2027-09-18 00:00:00,A,1120
346,512,2024-11-28 00:00:00,A,1017
347,515,2025-03-24 00:00:00,A,1012
348,516,2021-11-29 00:00:00,C,1003
349,517,2026-09-27 00:00:00,C,1048
350,518,2026-06-14 00:00:00,A,1107
351,519,2022-04-26 00:00:00,C,1017
352,522,2021-08-10 00:00:00,A,1016
353,523,2026-12-30 00:00:00,A,1098
354,524,2027-01-15 00:00:00,C,1046
355,525,2022-02-24 00:00:00,A,1039
356,526,2024-07-30 00:00:00,A,1032
357,527,2024-07-21 00:00:00,A,1110
358,529,2027-03-31 00:00:00,A,1030
359,530,2024-08-24 00:00:00,A,1080
360,532,2025-06-29 00:00:00,C,1059
361,533,2023-08-25 00:00:00,C,1039
362,534,2026-06-30 00:00:00,A,1031
363,535,2024-08-08 00:00:00,A,1074
364,536,2025-07-05 00:00:00,A,1015
365,538,2026-01-08 00:00:00,A,1053
366,539,2021-11-25 00:00:00,C,1008
367,540,2024-10-17 00:00:00,A,1047
368,541,2023-12-04 00:00:00,A,1064
369,542,2027-01-24 00:00:00,C,1002
370,543,2026-04-08 00:00:00,C,1048
371,546,2022-06-28 00:00:00,A,1019
372,547,2021-06-21 00:00:00,A,1080
373,548,2023-07-12 00:00:00,A,1056
374,551,2024-05-10 00:00:00,C,1102
375,553,2025-08-24 00:00:00,B,1067
376,554,2025-04-03 00:00:00,A,1059
377,555,2024-06-02 00:00:00,B,1068
378,556,2027-01-11 00:00:00,C,1018
379,557,2026-05-22 00:00:00,A,1041
380,558,2022-07-18 00:00:00,A,1018
381,559,2022-12-10 00:00:00,A,1087
382,560,2022-05-09 00:00:00,A,1085
383,561,2027-04-09 00:00:00,A,1003
384,563,2022-11-25 00:00:00,A,1006
385,564,2022-08-18 00:00:00,C,1079
386,565,2022-01-09 00:00:00,A,1041
387,567,2023-10-27 00:00:00,C,1120
388,568,2022-01-19 00:00:00,A,1020
389,570,2024-12-20 00:00:00,A,1063
390,571,2023-06-28 00:00:00,A,1087
391,572,2021-11-24 00:00:00,C,1058
392,573,2022-11-29 00:00:00,A,1016
393,575,2026-04-12 00:00:00,A,1097
394,577,2026-05-24 00:00:00,C,1002
395,578,2022-04-20 00:00:00,A,1102
396,579,2027-02-05 00:00:00,A,1028
397,581,2026-12-02 00:00:00,C,1093
398,582,2023-10-07 00:00:00,A,1054
399,584,2026-11-18 00:00:00,A,1094
400,585,2024-12-26 00:00:00,A,1114
401,586,2024-07-05 00:00:00,C,1058
402,587,2022-10-13 00:00:00,A,1112
403,588,2026-07-18 00:00:00,A,1042
404,589,2022-01-05 00:00:00,B,1050
405,590,2027-01-08 00:00:00,A,1037
406,591,2023-12-22 00:00:00,A,1013
407,594,2025-08-21 00:00:00,C,1044
408,595,2025-10-31 00:00:00,A,1082
409,596,2023-01-02 00:00:00,C,1105
410,599,2027-05-26 00:00:00,A,1030
411,600,2022-02-17 00:00:00,A,1024
412,601,2027-02-03 00:00:00,A,1094
413,602,2021-07-28 00:00:00,A,1080
414,603,2025-09-20 00:00:00,A,1009
415,605,2022-01-04 00:00:00,A,1059
416,606,2022-03-10 00:00:00,C,1118
417,607,2022-02-21 00:00:00,A,1099
418,608,2026-06-07 00:00:00,A,1084
419,610,2026-02-14 00:00:00,A,1114
420,611,2021-02-14 00:00:00,A,1064
421,612,2026-08-09 00:00:00,A,1054
422,614,2023-06-02 00:00:00,C,1114
423,615,2023-04-03 00:00:00,A,1065
424,616,2024-08-15 00:00:00,C,1057
425,617,2022-03-21 00:00:00,C,1048
426,619,2022-05-02 00:00:00,A,1102
427,620,2023-12-25 00:00:00,A,1024
428,621,2021-08-17 00:00:00,A,1016
429,623,2024-12-03 00:00:00,C,1015
430,625,2026-06-09 00:00:00,C,1111
431,626,2025-10-21 00:00:00,A,1044
432,627,2023-02-02 00:00:00,C,1001
433,628,2021-11-07 00:00:00,C,1077
434,630,2022-11-27 00:00:00,A,1082
435,631,2024-10-24 00:00:00,A,1031
436,632,2024-12-18 00:00:00,B,1034
437,633,2027-02-19 00:00:00,C,1115
438,634,2022-06-29 00:00:00,A,1110
439,635,2026-01-25 00:00:00,A,1046
440,637,2026-09-21 00:00:00,A,1100
441,638,2025-07-30 00:00:00,C,1004
442,639,2024-11-10 00:00:00,A,1061
443,641,2021-10-30 00:00:00,B,1098
444,642,2023-01-03 00:00:00,A,1093
445,644,2025-01-23 00:00:00,A,1092
446,645,2023-01-16 00:00:00,C,1104
447,646,2025-03-03 00:00:00,C,1071
448,647,2022-12-16 00:00:00,C,1014
449,650,2025-12-08 00:00:00,B,1121
450,655,2022-09-29 00:00:00,A,1104
451,656,2022-08-12 00:00:00,A,1065
452,657,2022-11-17 00:00:00,A,1069
453,658,2023-10-02 00:00:00,A,1046
454,662,2026-01-19 00:00:00,C,1096
455,663,2025-11-26 00:00:00,A,1002
456,664,2024-05-14 00:00:00,A,1020
457,665,2022-02-05 00:00:00,A,1066
458,666,2023-09-11 00:00:00,C,1069
459,667,2023-07-17 00:00:00,A,1106
460,668,2023-08-07 00:00:00,A,1039
461,669,2027-01-26 00:00:00,A,1034
462,670,2024-07-01 00:00:00,A,1106
463,671,2027-04-24 00:00:00,A,1001
464,672,2025-11-06 00:00:00,A,1020
465,673,2022-07-26 00:00:00,A,1101
466,674,2023-05-02 00:00:00,A,1091
467,675,2024-02-02 00:00:00,A,1049
468,678,2021-10-06 00:00:00,A,1054
469,679,2024-09-27 00:00:00,A,1009
470,680,2025-02-10 00:00:00,C,1047
471,681,2026-05-10 00:00:00,A,1063
472,682,2025-05-05 00:00:00,C,1100
473,683,2023-01-31 00:00:00,A,1028
474,684,2024-01-24 00:00:00,A,1027
475,685,2023-10-17 00:00:00,C,1109
476,686,2023-11-23 00:00:00,C,1005
477,687,2024-02-25 00:00:00,A,1003
478,688,2026-01-15 00:00:00,A,1093
479,690,2022-04-11 00:00:00,B,1094
480,691,2025-10-03 00:00:00,C,1054
481,692,2026-07-21 00:00:00,A,1003
482,693,2021-06-01 00:00:00,A,1055
483,694,2026-08-09 00:00:00,B,1057
484,695,2021-09-01 00:00:00,A,1002
485,696,2024-05-23 00:00:00,A,1107
486,698,2027-01-23 00:00:00,A,1007
487,700,2024-04-05 00:00:00,A,1076
488,701,2021-04-25 00:00:00,A,1086
489,702,2026-12-07 00:00:00,A,1070
490,703,2022-10-26 00:00:00,C,1033
491,704,2025-09-08 00:00:00,A,1023
492,705,2021-10-03 00:00:00,C,1090
493,706,2026-03-01 00:00:00,A,1021
494,708,2026-12-11 00:00:00,A,1092
495,709,2023-12-17 00:00:00,A,1100
496,710,2023-09-29 00:00:00,A,1008
497,711,2024-04-17 00:00:00,A,1085
498,712,2023-05-07 00:00:00,C,1009
499,715,2021-10-18 00:00:00,C,1019
500,716,2027-04-28 00:00:00,A,1014
501,717,2024-01-16 00:00:00,A,1074
502,718,2022-10-08 00:00:00,C,1062
503,719,2026-10-31 00:00:00,A,1018
504,722,2021-12-23 00:00:00,C,1018
505,723,2021-08-05 00:00:00,B,1067
506,724,2024-01-26 00:00:00,A,1021
507,725,2022-11-28 00:00:00,A,1121
508,726,2022-08-29 00:00:00,C,1050
509,727,2024-10-27 00:00:00,A,1042
510,728,2023-11-09 00:00:00,C,1031
511,729,2027-03-15 00:00:00,A,1005
512,730,2022-03-02 00:00:00,A,1057
513,731,2027-05-17 00:00:00,A,1014
514,732,2021-06-14 00:00:00,C,1079
515,733,2025-05-01 00:00:00,B,1022
516,735,2023-08-26 00:00:00,A,1097
517,736,2023-01-06 00:00:00,A,1064
518,738,2024-03-28 00:00:00,C,1068
519,739,2025-01-08 00:00:00,A,1092
520,740,2022-03-21 00:00:00,B,1116
521,742,2027-06-27 00:00:00,A,1021
522,743,2024-05-01 00:00:00,A,1118
523,746,2025-12-21 00:00:00,A,1116
524,747,2024-01-12 00:00:00,C,1048
525,749,2026-08-15 00:00:00,A,1067
526,750,2025-06-14 00:00:00,C,1060
527,751,2026-05-05 00:00:00,A,1006
528,752,2025-04-28 00:00:00,A,1006
529,753,2025-02-17 00:00:00,A,1006
530,754,2022-03-30 00:00:00,A,1092
531,756,2026-09-30 00:00:00,A,1094
532,757,2022-03-07 00:00:00,A,1020
533,760,2024-05-10 00:00:00,B,1114
534,761,2023-04-07 00:00:00,C,1119
535,764,2023-01-01 00:00:00,C,1103
536,765,2022-03-18 00:00:00,A,1090
537,766,2025-09-18 00:00:00,A,1101
538,769,2023-01-22 00:00:00,A,1036
539,770,2026-04-24 00:00:00,A,1102
540,771,2026-04-23 00:00:00,A,1098
541,772,2027-02-16 00:00:00,A,1092
542,773,2022-04-12 00:00:00,A,1102
543,775,2021-12-20 00:00:00,A,1030
544,777,2023-10-27 00:00:00,A,1081
545,778,2023-02-14 00:00:00,A,1006
546,779,2025-03-26 00:00:00,A,1110
547,780,2024-05-18 00:00:00,A,1044
548,781,2021-10-28 00:00:00,C,1033
549,782,2026-12-18 00:00:00,A,1045
550,783,2022-12-29 00:00:00,B,1019
551,784,2026-07-25 00:00:00,A,1037
552,785,2026-08-07 00:00:00,A,1090
553,786,2021-05-13 00:00:00,A,1020
554,787,2023-03-07 00:00:00,A,1001
555,788,2022-09-10 00:00:00,A,1081
556,789,2022-06-08 00:00:00,C,1023
557,790,2024-10-13 00:00:00,C,1016
558,791,2023-01-23 00:00:00,C,1002
559,793,2027-07-19 00:00:00,A,1111
560,794,2023-02-21 00:00:00,C,1102
561,795,2023-02-02 00:00:00,A,1003
562,796,2022-10-10 00:00:00,C,1111
563,797,2022-01-11 00:00:00,C,1108
564,798,2021-09-17 00:00:00,A,1092
565,799,2023-12-22 00:00:00,C,1021
566,800,2023-04-17 00:00:00,A,1082
567,801,2021-04-15 00:00:00,C,1029
568,805,2024-12-02 00:00:00,A,1098
569,806,2022-11-30 00:00:00,A,1121
570,807,2022-01-24 00:00:00,A,1061
571,808,2025-11-01 00:00:00,C,1071
572,810,2023-05-05 00:00:00,C,1103
573,811,2024-12-23 00:00:00,A,1026
574,812,2022-01-14 00:00:00,A,1106
575,813,2022-07-31 00:00:00,A,1022
576,814,2024-11-18 00:00:00,A,1047
577,816,2021-11-13 00:00:00,B,1003
578,817,2027-01-26 00:00:00,A,1120
579,819,2025-05-07 00:00:00,A,1100
580,820,2022-12-13 00:00:00,A,1031
581,822,2025-07-13 00:00:00,C,1017
582,823,2025-05-12 00:00:00,B,1114
583,824,2022-01-18 00:00:00,A,1031
584,825,2021-04-06 00:00:00,A,1113
585,826,2025-09-25 00:00:00,A,1008
586,827,2022-10-08 00:00:00,A,1098
587,828,2026-02-04 00:00:00,C,1010
588,829,2026-09-21 00:00:00,A,1098
589,831,2021-09-18 00:00:00,C,1087
590,832,2025-07-02 00:00:00,A,1102
591,833,2024-11-10 00:00:00,A,1104
592,834,2021-11-03 00:00:00,A,1076
593,837,2022-12-24 00:00:00,B,1007
594,838,2022-08-01 00:00:00,C,1022
595,839,2025-08-24 00:00:00,A,1073
596,840,2022-08-20 00:00:00,A,1093
597,841,2022-01-11 00:00:00,A,1028
598,842,2023-11-19 00:00:00,C,1087
599,843,2027-01-10 00:00:00,B,1019
600,845,2026-12-21 00:00:00,C,1086
601,846,2024-03-20 00:00:00,C,1103
602,849,2025-09-19 00:00:00,A,1060
603,850,2025-10-29 00:00:00,A,1054
604,851,2026-05-08 00:00:00,A,1078
605,852,2024-10-07 00:00:00,C,1099
606,855,2024-11-10 00:00:00,C,1024
607,856,2025-11-06 00:00:00,C,1076
608,857,2024-11-05 00:00:00,A,1077
609,858,2024-07-19 00:00:00,A,1020
610,859,2025-11-03 00:00:00,B,1097
611,862,2025-09-14 00:00:00,C,1015
612,864,2022-09-28 00:00:00,A,1090
613,865,2026-08-27 00:00:00,C,1097
614,866,2022-02-20 00:00:00,A,1102
615,867,2026-01-14 00:00:00,A,1104
616,868,2021-03-11 00:00:00,B,1007
617,869,2023-02-21 00:00:00,B,1002
618,870,2022-09-03 00:00:00,C,1051
619,872,2026-04-24 00:00:00,A,1024
620,873,2027-10-07 00:00:00,C,1051
621,874,2027-04-08 00:00:00,B,1096
622,875,2027-01-13 00:00:00,A,1024
623,877,2023-04-06 00:00:00,C,1048
624,878,2021-11-14 00:00:00,A,1067
625,880,2023-01-05 00:00:00,C,1118
626,881,2023-01-05 00:00:00,A,1057
627,882,2026-07-01 00:00:00,A,1001
628,883,2024-04-13 00:00:00,A,1051
629,886,2025-05-09 00:00:00,A,1026
630,887,2024-02-20 00:00:00,B,1016
631,889,2025-06-18 00:00:00,A,1055
632,891,2025-10-28 00:00:00,A,1045
633,892,2026-02-04 00:00:00,A,1102
